Fecha,Producto,Categoría,Cantidad,Precio,Ciudad
25/04/2026,Monitor 24,Computadoras,18,850.00,Moquegua
23/03/2026,Disco SSD 1TB,Almacenamiento,7,342.00,Arequipa
12/01/2026,Webcam HD,Accesorios,11,171.00,Trujillo
03/04/2026,Impresora Multifunción,Impresoras,9,1150.00,Tacna
02/06/2026,Laptop A,Computadoras,5,2500.00,Arequipa
27/06/2026,PC Gamer X,Computadoras,13,5200.00,Arequipa
03/03/2026,PC Gamer X,Computadoras,8,5200.00,Cusco
12/04/2026,Mouse X,Accesorios,14,55.00,Trujillo
08/06/2026,USB 64GB,Almacenamiento,17,45.00,Puno
20/02/2026,Mouse Gamer,Accesorios,20,180.00,Cusco
30/01/2026,Teclado K1,Accesorios,2,120.00,Tacna
03/08/2026,USB 128GB,Almacenamiento,12,71.25,Moquegua
21/07/2026,Impresora A,Impresoras,16,819.00,Trujillo
26/03/2026,Mouse Gamer,Accesorios,14,171.00,Juliaca
07/03/2026,Mouse X,Accesorios,8,50.00,Tacna
08/01/2026,Impresora A,Impresoras,11,858.00,Puno
29/06/2026,Disco SSD 1TB,Almacenamiento,3,418.00,Trujillo
04/05/2026,Laptop A,Computadoras,16,2500.00,Trujillo
21/03/2026,Monitor 27,Computadoras,3,1250.00,Cusco
27/06/2026,PC Gamer X,Computadoras,10,4680.00,Puno
12/03/2026,Switch 8P,Redes,1,310.00,Juliaca
28/04/2026,Router WiFi,Redes,13,207.00,Cusco
21/03/2026,Disco SSD 1TB,Almacenamiento,19,380.00,Tacna
09/02/2026,Impresora Multifunción,Impresoras,9,1150.00,Arequipa
25/05/2026,Monitor 27,Computadoras,8,1312.50,Cusco
13/05/2026,PC Gamer X,Computadoras,16,5200.00,Juliaca
16/05/2026,Cable UTP,Redes,9,25.00,Trujillo
19/06/2026,Impresora A,Impresoras,8,819.00,Trujillo
16/06/2026,Impresora Multifunción,Impresoras,19,1092.50,Cusco
04/08/2026,Webcam HD,Accesorios,11,180.50,Moquegua
24/02/2026,Disco SSD 2TB,Almacenamiento,10,690.00,Cusco
30/07/2026,PC Gamer X,Computadoras,16,5200.00,Puno
04/01/2026,Mouse X,Accesorios,3,47.50,Trujillo
16/06/2026,Teclado K1,Accesorios,3,120.00,Trujillo
20/06/2026,Mouse X,Accesorios,3,55.00,Lima
24/03/2026,USB 64GB,Almacenamiento,14,45.00,Moquegua
06/07/2026,Webcam HD,Accesorios,14,180.50,Lima
19/03/2026,Monitor 24,Computadoras,15,807.50,Moquegua
14/06/2026,Mouse X,Accesorios,6,52.50,Cusco
15/01/2026,Mouse Gamer,Accesorios,16,180.00,Trujillo
15/04/2026,Laptop A,Computadoras,8,2500.00,Tacna
01/01/2026,Impresora A,Impresoras,13,780.00,Tacna
27/02/2026,Laptop B,Computadoras,19,3520.00,Trujillo
07/04/2026,Disco SSD 1TB,Almacenamiento,3,380.00,Puno
08/06/2026,Impresora A,Impresoras,20,741.00,Puno
31/01/2026,Laptop A,Computadoras,7,2750.00,Cusco
25/05/2026,USB 128GB,Almacenamiento,1,82.50,Moquegua
28/02/2026,Disco SSD 1TB,Almacenamiento,16,361.00,Puno
14/08/2026,USB 128GB,Almacenamiento,4,82.50,Tacna
13/04/2026,PC Gamer X,Computadoras,5,4680.00,Puno
07/03/2026,Monitor 24,Computadoras,5,850.00,Juliaca
21/01/2026,Router WiFi,Redes,2,230.00,Trujillo
06/08/2026,USB 128GB,Almacenamiento,12,71.25,Cusco
21/04/2026,USB 64GB,Almacenamiento,11,40.50,Tacna
22/01/2026,Teclado K1,Accesorios,10,120.00,Arequipa
30/07/2026,Disco SSD 2TB,Almacenamiento,6,621.00,Trujillo
27/06/2026,Laptop A,Computadoras,8,2625.00,Lima
03/01/2026,Mouse Gamer,Accesorios,19,162.00,Juliaca
11/02/2026,Mouse Gamer,Accesorios,7,162.00,Juliaca
08/06/2026,Audífonos Pro,Accesorios,2,225.00,Tacna
23/03/2026,Mouse X,Accesorios,5,50.00,Tacna
17/08/2026,Cable UTP,Redes,2,25.00,Puno
04/04/2026,Cable UTP,Redes,14,22.50,Trujillo
29/07/2026,PC Gamer X,Computadoras,18,5460.00,Cusco
04/01/2026,Router WiFi,Redes,19,230.00,Trujillo
02/01/2026,Switch 8P,Redes,7,310.00,Juliaca
27/01/2026,Impresora Multifunción,Impresoras,5,1265.00,Cusco
19/04/2026,Laptop A,Computadoras,2,2250.00,Puno
30/04/2026,Teclado K1,Accesorios,10,120.00,Juliaca
25/06/2026,Teclado K1,Accesorios,12,120.00,Puno
18/06/2026,Cable UTP,Redes,1,22.50,Lima
26/02/2026,USB 64GB,Almacenamiento,12,47.25,Puno
05/04/2026,Webcam HD,Accesorios,2,171.00,Lima
15/06/2026,Mouse Gamer,Accesorios,2,171.00,Lima
03/04/2026,Webcam HD,Accesorios,14,190.00,Trujillo
16/02/2026,Disco SSD 1TB,Almacenamiento,7,380.00,Puno
23/01/2026,Router WiFi,Redes,15,230.00,Puno
08/05/2026,Laptop C,Computadoras,12,4100.00,Puno
06/05/2026,Monitor 24,Computadoras,7,807.50,Juliaca
26/02/2026,Webcam HD,Accesorios,8,190.00,Puno
15/04/2026,Audífonos Pro,Accesorios,16,262.50,Juliaca
13/03/2026,Impresora Multifunción,Impresoras,15,1150.00,Juliaca
01/03/2026,Impresora A,Impresoras,8,702.00,Trujillo
11/07/2026,Mouse Gamer,Accesorios,12,180.00,Puno
22/06/2026,Impresora A,Impresoras,12,780.00,Trujillo
06/03/2026,Monitor 24,Computadoras,10,850.00,Lima
26/05/2026,USB 128GB,Almacenamiento,3,75.00,Puno
19/08/2026,Switch 8P,Redes,13,310.00,Cusco
09/02/2026,USB 128GB,Almacenamiento,11,71.25,Juliaca
31/01/2026,Disco SSD 2TB,Almacenamiento,7,690.00,Arequipa
08/03/2026,PC Gamer X,Computadoras,8,4940.00,Lima
20/03/2026,Impresora Multifunción,Impresoras,18,1265.00,Cusco
21/04/2026,Monitor 27,Computadoras,11,1187.50,Juliaca
28/02/2026,Disco SSD 1TB,Almacenamiento,11,342.00,Lima
28/03/2026,Laptop C,Computadoras,5,4100.00,Cusco
05/05/2026,Router WiFi,Redes,14,218.50,Trujillo
28/07/2026,Laptop B,Computadoras,2,3040.00,Arequipa
31/03/2026,Disco SSD 2TB,Almacenamiento,7,724.50,Trujillo
25/03/2026,Cable UTP,Redes,13,25.00,Cusco
20/05/2026,Impresora A,Impresoras,6,702.00,Juliaca
10/04/2026,Teclado K1,Accesorios,4,120.00,Cusco
25/04/2026,USB 128GB,Almacenamiento,15,75.00,Lima
03/04/2026,Laptop A,Computadoras,18,2250.00,Cusco
15/05/2026,Mouse X,Accesorios,17,47.50,Puno
27/06/2026,Monitor 24,Computadoras,15,807.50,Moquegua
16/01/2026,Laptop A,Computadoras,14,2500.00,Lima
17/07/2026,Mouse X,Accesorios,20,50.00,Arequipa
10/08/2026,Webcam HD,Accesorios,6,171.00,Arequipa
27/02/2026,Router WiFi,Redes,20,230.00,Arequipa
08/06/2026,Mouse Gamer,Accesorios,17,180.00,Juliaca
19/02/2026,Monitor 24,Computadoras,12,807.50,Puno
30/03/2026,Impresora A,Impresoras,15,780.00,Trujillo
29/01/2026,Webcam HD,Accesorios,14,199.50,Lima
20/05/2026,Disco SSD 2TB,Almacenamiento,2,724.50,Moquegua
26/02/2026,Monitor 24,Computadoras,3,850.00,Tacna
06/06/2026,Laptop B,Computadoras,5,3520.00,Puno
19/05/2026,Mouse Gamer,Accesorios,18,171.00,Tacna
16/08/2026,Monitor 24,Computadoras,1,850.00,Cusco
02/01/2026,Disco SSD 1TB,Almacenamiento,7,380.00,Moquegua
15/08/2026,Impresora A,Impresoras,2,741.00,Arequipa
15/03/2026,Router WiFi,Redes,10,207.00,Arequipa
30/05/2026,Impresora Multifunción,Impresoras,15,1265.00,Tacna
28/03/2026,Teclado K1,Accesorios,19,132.00,Puno
08/05/2026,Monitor 27,Computadoras,9,1187.50,Cusco
20/03/2026,Mouse Gamer,Accesorios,6,162.00,Tacna
22/07/2026,Impresora Multifunción,Impresoras,9,1265.00,Puno
20/01/2026,Laptop A,Computadoras,6,2500.00,Lima
23/07/2026,Disco SSD 1TB,Almacenamiento,13,380.00,Lima
20/05/2026,Switch 8P,Redes,16,310.00,Juliaca
14/04/2026,Mouse Gamer,Accesorios,10,180.00,Moquegua
09/02/2026,Laptop C,Computadoras,7,4100.00,Cusco
21/02/2026,Webcam HD,Accesorios,12,171.00,Cusco
07/08/2026,Monitor 27,Computadoras,4,1375.00,Trujillo
22/03/2026,Teclado K1,Accesorios,4,120.00,Arequipa
30/03/2026,Monitor 27,Computadoras,20,1250.00,Moquegua
26/02/2026,Disco SSD 2TB,Almacenamiento,12,759.00,Lima
22/05/2026,Router WiFi,Redes,8,207.00,Trujillo
25/03/2026,Webcam HD,Accesorios,15,180.50,Puno
22/07/2026,Teclado K1,Accesorios,4,120.00,Puno
14/08/2026,Impresora Multifunción,Impresoras,5,1265.00,Moquegua
07/07/2026,Impresora A,Impresoras,9,858.00,Puno
05/08/2026,USB 64GB,Almacenamiento,6,47.25,Tacna
11/08/2026,Teclado K1,Accesorios,1,108.00,Cusco
07/07/2026,Disco SSD 1TB,Almacenamiento,12,380.00,Tacna
09/05/2026,Webcam HD,Accesorios,2,171.00,Lima
18/03/2026,USB 128GB,Almacenamiento,19,71.25,Moquegua
08/06/2026,Teclado K1,Accesorios,19,132.00,Trujillo
12/06/2026,Impresora Multifunción,Impresoras,18,1207.50,Lima
08/02/2026,Laptop C,Computadoras,20,4100.00,Juliaca
15/06/2026,Monitor 27,Computadoras,3,1250.00,Tacna
27/04/2026,USB 128GB,Almacenamiento,12,71.25,Puno
30/06/2026,Router WiFi,Redes,1,230.00,Lima
30/06/2026,Mouse Gamer,Accesorios,16,162.00,Arequipa
28/04/2026,Disco SSD 1TB,Almacenamiento,10,418.00,Arequipa
30/01/2026,Cable UTP,Redes,2,27.50,Cusco
16/04/2026,Teclado K1,Accesorios,2,108.00,Juliaca
12/08/2026,Switch 8P,Redes,11,294.50,Lima
09/02/2026,Impresora Multifunción,Impresoras,14,1150.00,Lima
30/05/2026,Impresora Multifunción,Impresoras,20,1035.00,Lima
06/07/2026,Monitor 27,Computadoras,12,1250.00,Cusco
06/02/2026,Router WiFi,Redes,11,230.00,Arequipa
15/08/2026,Cable UTP,Redes,18,22.50,Moquegua
15/07/2026,Impresora Multifunción,Impresoras,12,1035.00,Lima
16/05/2026,Teclado K1,Accesorios,17,120.00,Lima
20/02/2026,USB 64GB,Almacenamiento,19,47.25,Moquegua
01/02/2026,Laptop A,Computadoras,6,2500.00,Juliaca
16/07/2026,Impresora A,Impresoras,15,702.00,Cusco
09/04/2026,Laptop B,Computadoras,20,3200.00,Trujillo
02/08/2026,USB 64GB,Almacenamiento,15,45.00,Trujillo
23/02/2026,USB 128GB,Almacenamiento,8,75.00,Arequipa
20/07/2026,USB 128GB,Almacenamiento,12,78.75,Trujillo
06/04/2026,Laptop A,Computadoras,15,2500.00,Tacna
05/07/2026,Mouse Gamer,Accesorios,14,171.00,Lima
17/07/2026,Cable UTP,Redes,7,25.00,Trujillo
08/07/2026,Disco SSD 2TB,Almacenamiento,3,759.00,Lima
11/06/2026,Teclado K1,Accesorios,10,120.00,Cusco
16/06/2026,Switch 8P,Redes,4,279.00,Arequipa
06/03/2026,Impresora A,Impresoras,6,780.00,Puno
25/03/2026,USB 64GB,Almacenamiento,11,45.00,Juliaca
25/01/2026,Audífonos Pro,Accesorios,6,237.50,Puno
02/07/2026,Router WiFi,Redes,11,207.00,Moquegua
18/05/2026,Audífonos Pro,Accesorios,20,250.00,Tacna
15/06/2026,Webcam HD,Accesorios,13,180.50,Lima
19/01/2026,Switch 8P,Redes,1,310.00,Arequipa
25/07/2026,Disco SSD 2TB,Almacenamiento,15,724.50,Arequipa
30/03/2026,Teclado K1,Accesorios,9,120.00,Lima
18/05/2026,Switch 8P,Redes,14,341.00,Juliaca
20/06/2026,Disco SSD 2TB,Almacenamiento,1,621.00,Trujillo
10/01/2026,Disco SSD 2TB,Almacenamiento,9,690.00,Moquegua
15/03/2026,USB 64GB,Almacenamiento,3,42.75,Tacna
06/08/2026,Disco SSD 2TB,Almacenamiento,14,724.50,Moquegua
04/05/2026,Cable UTP,Redes,8,25.00,Juliaca
25/03/2026,Laptop C,Computadoras,7,4100.00,Cusco
07/05/2026,Impresora Multifunción,Impresoras,3,1150.00,Moquegua
21/03/2026,Monitor 27,Computadoras,19,1187.50,Moquegua
16/04/2026,PC Gamer X,Computadoras,3,5200.00,Tacna
19/05/2026,Impresora A,Impresoras,10,780.00,Trujillo
21/06/2026,Mouse Gamer,Accesorios,12,162.00,Lima
03/07/2026,USB 128GB,Almacenamiento,16,75.00,Arequipa
17/01/2026,Laptop B,Computadoras,19,3200.00,Trujillo
12/04/2026,Laptop B,Computadoras,6,3200.00,Juliaca
24/07/2026,Laptop A,Computadoras,15,2500.00,Puno
23/05/2026,Cable UTP,Redes,12,25.00,Juliaca
27/07/2026,PC Gamer X,Computadoras,12,4680.00,Tacna
01/07/2026,Mouse Gamer,Accesorios,10,189.00,Cusco
19/07/2026,Laptop C,Computadoras,18,4100.00,Puno
28/02/2026,Disco SSD 2TB,Almacenamiento,7,655.50,Juliaca
09/08/2026,Laptop A,Computadoras,8,2500.00,Trujillo
26/07/2026,Monitor 24,Computadoras,6,765.00,Juliaca
28/05/2026,Monitor 24,Computadoras,15,850.00,Arequipa
26/04/2026,Impresora A,Impresoras,6,780.00,Arequipa
09/07/2026,Laptop B,Computadoras,9,2880.00,Lima
20/02/2026,Cable UTP,Redes,16,27.50,Puno
02/05/2026,PC Gamer X,Computadoras,5,5200.00,Juliaca
12/01/2026,Switch 8P,Redes,10,325.50,Juliaca
20/05/2026,Cable UTP,Redes,11,26.25,Tacna
24/06/2026,USB 64GB,Almacenamiento,6,45.00,Tacna
30/05/2026,Impresora A,Impresoras,12,819.00,Tacna
02/03/2026,Monitor 24,Computadoras,20,807.50,Juliaca
09/04/2026,PC Gamer X,Computadoras,14,4940.00,Juliaca
23/03/2026,Router WiFi,Redes,11,230.00,Lima
17/01/2026,Impresora Multifunción,Impresoras,13,1150.00,Moquegua
06/02/2026,USB 64GB,Almacenamiento,10,45.00,Trujillo
12/03/2026,USB 64GB,Almacenamiento,8,47.25,Arequipa
29/05/2026,Switch 8P,Redes,6,310.00,Arequipa
23/07/2026,Disco SSD 2TB,Almacenamiento,11,690.00,Juliaca
02/08/2026,Disco SSD 2TB,Almacenamiento,9,690.00,Juliaca
05/05/2026,USB 64GB,Almacenamiento,9,49.50,Lima
11/01/2026,USB 128GB,Almacenamiento,17,71.25,Puno
16/08/2026,PC Gamer X,Computadoras,7,5720.00,Tacna
12/08/2026,USB 64GB,Almacenamiento,1,42.75,Cusco
13/01/2026,Disco SSD 2TB,Almacenamiento,15,655.50,Puno
12/01/2026,Router WiFi,Redes,9,241.50,Lima
27/07/2026,Impresora Multifunción,Impresoras,11,1092.50,Cusco
24/02/2026,USB 128GB,Almacenamiento,11,67.50,Trujillo
18/01/2026,USB 128GB,Almacenamiento,10,67.50,Moquegua
04/07/2026,Teclado K1,Accesorios,19,114.00,Tacna
10/04/2026,Monitor 24,Computadoras,4,892.50,Moquegua
04/06/2026,Audífonos Pro,Accesorios,8,250.00,Arequipa
01/03/2026,Router WiFi,Redes,5,241.50,Cusco
02/03/2026,Impresora A,Impresoras,13,780.00,Tacna
27/01/2026,Disco SSD 2TB,Almacenamiento,20,690.00,Trujillo
28/01/2026,Audífonos Pro,Accesorios,19,250.00,Puno
11/03/2026,Disco SSD 2TB,Almacenamiento,19,690.00,Cusco
01/08/2026,Teclado K1,Accesorios,17,114.00,Moquegua
24/07/2026,Disco SSD 1TB,Almacenamiento,3,380.00,Trujillo
17/06/2026,USB 128GB,Almacenamiento,2,67.50,Cusco
10/07/2026,USB 128GB,Almacenamiento,16,75.00,Puno
09/06/2026,Monitor 27,Computadoras,7,1187.50,Juliaca
09/06/2026,Cable UTP,Redes,7,25.00,Trujillo
17/06/2026,USB 128GB,Almacenamiento,4,75.00,Juliaca
11/07/2026,Switch 8P,Redes,10,310.00,Moquegua
26/04/2026,Impresora Multifunción,Impresoras,17,1035.00,Trujillo
05/03/2026,Mouse X,Accesorios,7,50.00,Cusco
02/02/2026,USB 64GB,Almacenamiento,19,47.25,Tacna
22/02/2026,Disco SSD 2TB,Almacenamiento,12,759.00,Arequipa
13/08/2026,Router WiFi,Redes,16,207.00,Juliaca
11/05/2026,Monitor 27,Computadoras,2,1250.00,Cusco
06/06/2026,Mouse X,Accesorios,8,47.50,Moquegua
03/04/2026,Laptop B,Computadoras,11,3200.00,Arequipa
06/02/2026,PC Gamer X,Computadoras,12,5200.00,Puno
09/01/2026,Disco SSD 2TB,Almacenamiento,14,690.00,Arequipa
21/04/2026,Router WiFi,Redes,16,230.00,Tacna
29/01/2026,PC Gamer X,Computadoras,11,5200.00,Trujillo
30/07/2026,Disco SSD 2TB,Almacenamiento,17,690.00,Cusco
10/03/2026,Disco SSD 1TB,Almacenamiento,1,380.00,Tacna
01/07/2026,Router WiFi,Redes,20,218.50,Lima
24/07/2026,Router WiFi,Redes,20,230.00,Juliaca
03/06/2026,Disco SSD 1TB,Almacenamiento,12,342.00,Juliaca
03/02/2026,Webcam HD,Accesorios,10,171.00,Puno
16/06/2026,Mouse X,Accesorios,18,45.00,Juliaca
04/02/2026,Audífonos Pro,Accesorios,11,275.00,Cusco
24/02/2026,PC Gamer X,Computadoras,16,4680.00,Lima
05/08/2026,Disco SSD 2TB,Almacenamiento,11,690.00,Tacna
06/08/2026,Impresora A,Impresoras,20,780.00,Trujillo
07/04/2026,Switch 8P,Redes,9,310.00,Tacna
15/07/2026,Laptop C,Computadoras,2,3690.00,Juliaca
28/06/2026,Switch 8P,Redes,2,310.00,Moquegua
22/02/2026,Laptop C,Computadoras,18,4100.00,Puno
15/07/2026,Mouse X,Accesorios,5,55.00,Lima
06/01/2026,Mouse X,Accesorios,1,50.00,Cusco
14/06/2026,Mouse X,Accesorios,3,52.50,Juliaca
28/07/2026,Cable UTP,Redes,12,26.25,Trujillo
08/06/2026,Mouse Gamer,Accesorios,20,171.00,Juliaca
13/03/2026,USB 128GB,Almacenamiento,17,75.00,Trujillo
01/07/2026,Webcam HD,Accesorios,20,171.00,Juliaca
04/07/2026,Webcam HD,Accesorios,3,171.00,Tacna
08/05/2026,Impresora A,Impresoras,12,780.00,Moquegua
05/05/2026,PC Gamer X,Computadoras,19,5460.00,Cusco
16/02/2026,Laptop C,Computadoras,13,3690.00,Juliaca
05/06/2026,Laptop B,Computadoras,16,3040.00,Juliaca
07/02/2026,Monitor 24,Computadoras,2,850.00,Juliaca
06/07/2026,Teclado K1,Accesorios,6,114.00,Juliaca
10/03/2026,Mouse Gamer,Accesorios,12,171.00,Puno
27/07/2026,Mouse X,Accesorios,14,47.50,Lima
15/04/2026,Laptop B,Computadoras,20,2880.00,Lima
09/05/2026,PC Gamer X,Computadoras,9,4680.00,Arequipa
21/07/2026,Switch 8P,Redes,20,279.00,Cusco
03/04/2026,Disco SSD 2TB,Almacenamiento,15,724.50,Cusco
11/06/2026,Laptop B,Computadoras,15,3360.00,Arequipa
19/01/2026,Monitor 24,Computadoras,1,765.00,Trujillo
10/01/2026,Disco SSD 2TB,Almacenamiento,13,759.00,Lima
01/06/2026,Laptop A,Computadoras,10,2375.00,Lima
07/02/2026,Mouse X,Accesorios,14,52.50,Tacna
07/03/2026,Audífonos Pro,Accesorios,12,237.50,Tacna
06/06/2026,Teclado K1,Accesorios,13,108.00,Arequipa
